CallsforMarch 17, 2017
Strike	Contract Name	Last Price	Bid	Ask	Change	% Change	Volume	Open Interest	Implied Volatility
135.00	IBM170317C00135000	43.33	42.00	46.10	0.00	0.00%	6	0	256.49%
140.00	IBM170317C00140000	40.36	38.55	42.85	2.25	5.90%	2	0	268.41%
145.00	IBM170317C00145000	31.40	32.50	35.15	0.00	0.00%	2	2	201.81%
150.00	IBM170317C00150000	28.27	27.60	30.20	0.00	0.00%	9	0	179.35%
155.00	IBM170317C00155000	25.50	26.30	26.65	2.35	10.15%	1	3	202.20%
160.00	IBM170317C00160000	17.15	16.85	17.40	-3.60	-17.35%	1	53	96.46%
165.00	IBM170317C00165000	11.50	10.70	10.95	-0.25	-2.13%	1	95	48.68%
170.00	IBM170317C00170000	5.90	5.90	6.10	-1.05	-15.11%	32	1,290	34.03%
172.50	IBM170317C00172500	3.50	3.60	3.70	-1.38	-28.28%	10	7	25.44%
175.00	IBM170317C00175000	1.71	1.64	1.72	-0.69	-28.75%	61	5,874	20.12%
177.50	IBM170317C00177500	0.53	0.48	0.51	-0.26	-32.91%	105	1,076	17.31%
180.00	IBM170317C00180000	0.13	0.12	0.14	-0.07	-35.00%	247	5,177	18.12%
182.50	IBM170317C00182500	0.04	0.03	0.04	-0.01	-20.00%	96	2,050	19.73%
185.00	IBM170317C00185000	0.05	0.01	0.10	0.03	150.00%	73	4,168	29.59%
187.50	IBM170317C00187500	0.01	0.00	0.03	-0.02	-66.67%	17	310	29.30%
190.00	IBM170317C00190000	0.02	0.00	0.03	0.00	0.00%	65	2,351	34.18%
192.50	IBM170317C00192500	0.02	0.00	0.04	-0.02	-50.00%	10	51	40.63%
195.00	IBM170317C00195000	0.02	0.00	0.04	0.00	0.00%	32	1,133	45.31%
200.00	IBM170317C00200000	0.04	0.00	0.11	0.00	0.00%	50	1,741	57.03%
205.00	IBM170317C00205000	0.04	0.01	0.08	0.00	0.00%	8	9	64.26%
210.00	IBM170317C00210000	0.03	0.00	0.07	0.00	0.00%	30	30	70.70%
215.00	IBM170317C00215000	0.02	0.00	0.00	0.00	0.00%	3	0	50.00%
